                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8382,                  1.798,                 1.6123,                 0.8313,                0.84775,                0.88104,                0.41961,                 1.7295,                 1.2326,                 1.4137,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.6586,                 1.1256,                 1.4375,                0.87131,                 0.8371,                0.90582,                0.44869,                 1.6622,                 1.0747,                  1.406,              0.0008855,              0.0008855,              0.0008855
                      3,                 1.6236,                 1.0345,                 1.4157,                0.88762,                0.88431,                 0.9376,                0.49239,                  1.584,                0.93519,                 1.3769,             0.00067602,             0.00067602,             0.00067602
